,Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
41,2/11/2018,8809,21167,254877,85,2
42,2/12/2018,35138,68283,254922,339,40
43,2/13/2018,35189,69420,254968,252,31
44,2/14/2018,39591,80081,255002,408,39
45,2/15/2018,44193,88474,255044,501,28
46,2/16/2018,29191,57219,255088,316,37
47,2/17/2018,17921,38834,255118,537,51
48,2/18/2018,21537,50512,255151,938,40
49,2/19/2018,25677,62150,255217,553,50
50,2/20/2018,44478,98129,255306,906,85
51,2/21/2018,53110,118306,255430,1596,77
52,2/22/2018,27010,54857,255485,147,18
53,2/23/2018,25633,49639,255534,165,22
54,2/24/2018,25550,61251,255597,956,51
55,2/25/2018,16149,34052,255654,231,18
56,2/26/2018,42570,84614,255747,448,54
57,2/27/2018,48514,107682,255836,664,48
58,2/28/2018,50707,100855,255944,637,52
59,3/1/2018,45562,91489,256022,571,45
60,3/2/2018,6855,23277,256050,21,7
61,3/3/2018,28361,61107,256117,851,56
62,3/4/2018,25262,60490,256189,704,33
63,3/5/2018,36774,75190,256263,357,47
64,3/6/2018,42688,80995,256307,516,27
65,3/7/2018,8188,22312,256333,16,7
66,3/8/2018,28440,53403,256360,188,17
67,3/9/2018,34912,70068,256393,344,43
68,3/10/2018,25443,59343,256438,689,43
69,3/11/2018,27596,67622,256517,1173,46
70,3/12/2018,36339,76569,256578,351,39
71,3/13/2018,23137,46021,256623,133,14
72,3/14/2018,35377,62352,256673,269,39
73,3/15/2018,39572,72192,256724,462,66
74,3/16/2018,34921,62381,256763,383,55
75,3/17/2018,27671,62524,256823,1015,56
76,3/18/2018,25158,55182,256880,839,36
77,3/19/2018,39278,83086,256933,544,39
78,3/20/2018,35532,69573,256986,187,17
79,3/21/2018,3755,11799,257004,3,1
80,3/22/2018,27308,61715,257040,216,25
81,3/23/2018,38527,77668,257098,543,55
82,3/24/2018,34396,79562,257167,1755,88
83,3/25/2018,25562,62656,257226,710,24
84,3/26/2018,40295,88831,257315,718,87
85,3/27/2018,41354,88986,257378,524,63
86,3/28/2018,41880,80607,257447,586,64
87,3/29/2018,39288,84590,257501,544,65
88,3/30/2018,34784,78825,257584,1006,147
89,3/31/2018,41779,109399,257701,3856,151
0,4/1/18,33148,94040,257811,2363,264
1,4/2/18,22062,50418,257889,297,20
2,4/3/18,25883,59477,257942,189,21
3,4/4/18,36755,80049,258025,611,48
4,4/5/18,39814,87382,258086,972,112
5,4/6/18,35624,83643,258143,918,101
6,4/7/18,33245,79955,258231,1661,129
7,4/8/18,28410,67056,258324,1271,75
8,4/9/18,40509,87612,258423,614,62
9,4/10/18,43051,89629,258498,475,37
10,4/11/18,48612,104081,258599,894,114
11,4/12/18,53168,114400,258754,1095,146
12,4/13/18,63503,150894,258926,3168,262
13,4/14/18,62595,185232,259171,7643,346
14,4/15/18,20440,58497,259252,525,21
15,4/16/18,26288,65284,259344,452,31
16,4/17/18,44689,104884,259470,589,85
17,4/18/18,51110,112664,259583,996,152
18,4/19/18,38298,79890,259704,407,52
19,4/20/18,47049,101982,259820,1241,133
20,4/21/18,63594,179681,260015,3142,214
21,4/22/18,54282,149532,260257,5399,265
22,4/23/18,57764,131224,260545,1976,191
23,4/24/18,58523,126491,260740,1529,159
24,4/25/18,31213,63086,260861,403,36
25,4/26/18,66074,150788,261062,2578,294
26,4/27/18,39153,85566,261172,823,70
27,4/28/18,56735,158334,261434,6129,369
28,4/29/18,44825,130649,261651,3594,266
29,4/30/18,41074,91215,261874,751,66
30,5/1/18,72035,173896,262154,3155,390
31,5/2/18,76773,189852,262535,3270,329
32,5/3/18,69053,165326,262816,2931,282
33,5/4/18,71197,177291,263103,3595,360
34,5/5/18,63325,167568,263371,6557,334
35,5/6/18,48993,120205,263632,3484,289
36,5/7/18,68915,156297,263992,2973,311
37,5/8/18,74310,174749,264308,3046,356
38,5/9/18,78454,183295,264589,3038,303
39,5/10/18,67454,153260,264852,2408,275
40,5/11/18,75262,184114,265052,4240,314
41,5/12/18,34535,91563,265150,2227,92
42,5/13/18,25985,67247,265260,1237,58
43,5/14/18,64727,147144,265465,2553,273
44,5/15/18,52826,118790,265682,1949,186
45,5/16/18,32766,75694,265811,493,45
46,5/17/18,49788,107763,265936,1755,113
47,5/18/18,63112,146437,266075,2663,240
48,5/19/18,18026,45461,266135,639,53
49,5/20/18,56946,158983,266399,5458,304
50,5/21/18,71218,172936,266669,3551,267
51,5/22/18,48508,109420,266868,1090,103
52,5/23/18,72653,170812,267098,2952,294
53,5/24/18,74808,177631,267330,3417,294
54,5/25/18,69342,174715,267536,4381,336
55,5/26/18,51592,155957,267703,6129,417
56,5/27/18,25813,78075,267815,1631,82
57,5/28/18,49040,140226,268037,5148,267
